id,chapter,section,exercise,note_written
C1-1.9-Ex1,1,1.9,Ex 1,False
C1-1.9-Ex2,1,1.9,Ex 2,False
C1-1.9-Ex3,1,1.9,Ex 3,False
C1-1.9-Ex4,1,1.9,Ex 4,False
C1-1.9-Ex5,1,1.9,Ex 5,False
C1-1.9-Ex6,1,1.9,Ex 6,False
C1-1.9-Ex7,1,1.9,Ex 7,False
C1-1.9-Ex8,1,1.9,Ex 8,False
C1-1.9-Ex9,1,1.9,Ex 9,False
C1-1.9-Ex10,1,1.9,Ex 10,False
C1-1.9-Ex11,1,1.9,Ex 11,False
C1-1.9-Ex12,1,1.9,Ex 12,False
C1-1.9-Ex13,1,1.9,Ex 13,False
C1-1.9-Ex14,1,1.9,Ex 14,False
C1-1.9-Ex15,1,1.9,Ex 15,False
C1-1.9-Ex16,1,1.9,Ex 16,False
C1-1.9-Ex17,1,1.9,Ex 17,False
C1-1.9-Ex18,1,1.9,Ex 18,False
C1-1.9-Ex19,1,1.9,Ex 19,False
C1-1.9-Ex20,1,1.9,Ex 20,False
C1-1.9-Ex21,1,1.9,Ex 21,False
C1-1.9-Ex22,1,1.9,Ex 22,False
C1-1.9-Ex23,1,1.9,Ex 23,False
C1-1.9-Ex24,1,1.9,Ex 24,False
C1-1.9-Ex25,1,1.9,Ex 25,False
C1-1.9-Ex26,1,1.9,Ex 26,False
C1-1.9-Ex27,1,1.9,Ex 27,False
C1-1.9-Ex28,1,1.9,Ex 28,False
C1-1.9-Ex29,1,1.9,Ex 29,False
C1-1.9-Ex30,1,1.9,Ex 30,False
C1-1.9-Ex31,1,1.9,Ex 31,False
C1-1.9-Ex32,1,1.9,Ex 32,False
C1-1.9-Ex33,1,1.9,Ex 33,False
C1-1.9-Ex34,1,1.9,Ex 34,False
C1-1.9-Ex35,1,1.9,Ex 35,False
C1-1.9-Ex36,1,1.9,Ex 36,False
C1-1.9-Ex37,1,1.9,Ex 37,False
C1-1.9-Ex38,1,1.9,Ex 38,False
C1-1.9-Ex39,1,1.9,Ex 39,False
C1-1.9-Ex40,1,1.9,Ex 40,False
C1-1.9-Ex41,1,1.9,Ex 41,False
C1-1.9-Ex42,1,1.9,Ex 42,False
C1-1.9-Ex43,1,1.9,Ex 43,False
C1-1.9-Ex44,1,1.9,Ex 44,False
C2-2.6-Ex1,2,2.6,Ex 1,False
C2-2.6-Ex2,2,2.6,Ex 2,False
C2-2.6-Ex3,2,2.6,Ex 3,False
C2-2.6-Ex4,2,2.6,Ex 4,False
C2-2.6-Ex5,2,2.6,Ex 5,False
C2-2.6-Ex6,2,2.6,Ex 6,False
C2-2.6-Ex7,2,2.6,Ex 7,False
C2-2.6-Ex8,2,2.6,Ex 8,False
C2-2.6-Ex9,2,2.6,Ex 9,False
C2-2.6-Ex10,2,2.6,Ex 10,False
C2-2.6-Ex11,2,2.6,Ex 11,False
C2-2.6-Ex12,2,2.6,Ex 12,False
C2-2.6-Ex13,2,2.6,Ex 13,False
C2-2.6-Ex14,2,2.6,Ex 14,False
C2-2.6-Ex15,2,2.6,Ex 15,False
C2-2.6-Ex16,2,2.6,Ex 16,False
C2-2.6-Ex17,2,2.6,Ex 17,False
C2-2.6-Ex18,2,2.6,Ex 18,False
C2-2.6-Ex19,2,2.6,Ex 19,False
C2-2.6-Ex20,2,2.6,Ex 20,False
C2-2.6-Ex21,2,2.6,Ex 21,False
C2-2.6-Ex22,2,2.6,Ex 22,False
C2-2.6-Ex23,2,2.6,Ex 23,False
C2-2.6-Ex24,2,2.6,Ex 24,False
C2-2.6-Ex25,2,2.6,Ex 25,False
C2-2.6-Ex26,2,2.6,Ex 26,False
C2-2.6-Ex27,2,2.6,Ex 27,False
C3-3.4-Ex1,3,3.4,Ex 1,False
C3-3.4-Ex2,3,3.4,Ex 2,False
C3-3.4-Ex3,3,3.4,Ex 3,False
C3-3.4-Ex4,3,3.4,Ex 4,False
C3-3.4-Ex5,3,3.4,Ex 5,False
C3-3.4-Ex6,3,3.4,Ex 6,False
C3-3.4-Ex7,3,3.4,Ex 7,False
C3-3.4-Ex8,3,3.4,Ex 8,False
C3-3.4-Ex9,3,3.4,Ex 9,False
C3-3.4-Ex10,3,3.4,Ex 10,False
C3-3.4-Ex11,3,3.4,Ex 11,False
C3-3.4-Ex12,3,3.4,Ex 12,False
C3-3.4-Ex13,3,3.4,Ex 13,False
C3-3.4-Ex14,3,3.4,Ex 14,False
C3-3.4-Ex15,3,3.4,Ex 15,False
C3-3.4-Ex16,3,3.4,Ex 16,False
C3-3.4-Ex17,3,3.4,Ex 17,False
C3-3.4-Ex18,3,3.4,Ex 18,False
C3-3.4-Ex19,3,3.4,Ex 19,False
C3-3.4-Ex20,3,3.4,Ex 20,False
C3-3.4-Ex21,3,3.4,Ex 21,False
C3-3.4-Ex22,3,3.4,Ex 22,False
C3-3.4-Ex23,3,3.4,Ex 23,False
C3-3.4-Ex24,3,3.4,Ex 24,False
C3-3.4-Ex25,3,3.4,Ex 25,False
C3-3.4-Ex26,3,3.4,Ex 26,False
