id,reps,lapses,ef,interval,last_date,due_date
C1-1.9-Ex1,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex2,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex3,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex4,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex5,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex6,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex7,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex8,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex9,1,0,2.36,1,2026-02-11,2026-02-12
C1-1.9-Ex10,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex11,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex12,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex13,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex14,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex15,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex16,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex17,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex18,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex19,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex20,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex21,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex22,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex23,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex24,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex25,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex26,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex27,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex28,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex29,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex30,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex31,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex32,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex33,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex34,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex35,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex36,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex37,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex38,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex39,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex40,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex41,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex42,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex43,0,0,2.5,0,NA,2026-02-11
C1-1.9-Ex44,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex1,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex2,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex3,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex4,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex5,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex6,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex7,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex8,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex9,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex10,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex11,2,0,2.5,6,2026-02-11,2026-02-17
C2-2.6-Ex12,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex13,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex14,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex15,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex16,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex17,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex18,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex19,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex20,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex21,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex22,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex23,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex24,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex25,0,0,2.5,0,NA,2026-02-11
C2-2.6-Ex26,1,0,2.5,1,2026-02-11,2026-02-12
C2-2.6-Ex27,0,0,2.5,0,NA,2026-02-11
